id_venda,cliente_id,codFilial,nm_filial,cidade_filial,estado_filial,dt_venda,categoria_prod,subcategoria,produto,qtd,vl_unit,vl_total,total_sem_desconto,forma_pgto,canal_venda,flag_campanha,status_venda
24,438,CTR,Centro,"São Paulo",SP,2024-08-24,Papelaria,Mochilas,"Caderno 10 matérias",3,10.00,30.00,30.00,Debito,APP,0,CANCELADO
25,669,CTR,Centro,"São Paulo",SP,2024-07-05,Bebidas,Nao_Informado,"Água mineral 500ml",5,3.00,15.00,15.00,Debito,Site,0,PAGO
26,120,NRT,Norte,Belém,PA,2024-04-09,Bebidas,Água,"Água mineral 500ml",5,12.00,60.00,60.00,Credito,APP,0,PAGO
27,601,CTR,Centro,"São Paulo",SP,2024-04-18,Mercearia,Grãos,"Biscoito recheado",1,4.00,4.00,4.00,Credito,Nao_Informado,0,PAGO
28,259,CTR,Centro,"São Paulo",SP,2024-06-06,Bebidas,Água,"Chá gelado 1L",1,9.00,9.00,9.00,Debito,"Loja física",0,PAGO
29,711,CTR,Centro,"São Paulo",SP,2024-05-12,Mercearia,Nao_Informado,"Biscoito recheado",5,18.00,90.00,90.00,Debito,Nao_Informado,0,PAGO
30,586,NRT,Norte,Belém,PA,2025-02-14,Papelaria,Nao_Informado,"Caderno 10 matérias",8,25.00,200.00,200.00,Debito,Site,1,CANCELADO
31,47,NRT,Norte,Belém,PA,2024-10-30,Mercearia,Snacks,"Macarrão 500g",2,8.00,16.00,16.00,Credito,APP,0,PAGO
32,221,NRT,Norte,Belém,PA,2024-01-02,Papelaria,Nao_Informado,"Mochila escolar",3,7.50,22.50,22.50,Credito,"Loja física",0,CANCELADO
33,17,CTR,Centro,"São Paulo",SP,2024-12-30,Papelaria,Nao_Informado,"Lápis de cor",4,10.00,40.00,40.00,Debito,APP,0,PAGO
34,766,CTR,Centro,"São Paulo",SP,2024-10-02,Mercearia,Nao_Informado,"Arroz 5kg",4,8.00,32.00,32.00,Debito,APP,0,PAGO
35,200,CTR,Centro,"São Paulo",SP,2024-06-29,Papelaria,Mochilas,"Caderno universitário",2,15.00,30.00,30.00,Credito,"Loja física",0,PAGO
36,522,CTR,Centro,"São Paulo",SP,2024-11-04,Papelaria,"Material artístico","Caneta preta",1,5.00,5.00,5.00,Dinheiro,"Loja física",0,PAGO
37,10,CTR,Centro,"São Paulo",SP,2024-03-26,Papelaria,Nao_Informado,"Lápis de cor",3,5.00,15.00,15.00,Debito,Nao_Informado,0,PAGO
38,643,CTR,Centro,"São Paulo",SP,2024-10-05,Papelaria,Cadernos,"Caderno 10 matérias",1,25.00,25.00,25.00,Debito,APP,0,CANCELADO
39,294,CTR,Centro,"São Paulo",SP,2024-01-25,Mercearia,Nao_Informado,"Macarrão 500g",4,6.00,24.00,24.00,Credito,Site,0,PAGO
40,45,CTR,Centro,"São Paulo",SP,2024-05-01,Mercearia,Grãos,"Biscoito recheado",5,8.00,40.00,40.00,Credito,Site,0,CANCELADO
41,378,SL,Sul,"Porto Alegre",RS,2024-12-22,Bebidas,Refrigerantes,"Refrigerante cola 2L",2,5.00,10.00,10.00,Dinheiro,Nao_Informado,0,PAGO
42,131,SL,Sul,"Porto Alegre",RS,2025-03-13,Papelaria,"Material artístico","Caneta azul",4,15.00,60.00,60.00,Debito,Site,1,CANCELADO
43,505,CTR,Centro,"São Paulo",SP,2024-09-08,Mercearia,Nao_Informado,"Macarrão 500g",5,12.00,60.00,60.00,Dinheiro,APP,0,PAGO
44,572,CTR,Centro,"São Paulo",SP,2025-01-05,Higiene,Cabelo,"Sabonete em barra",1,11.00,11.00,11.00,Credito,Site,0,PAGO
45,142,CTR,Centro,"São Paulo",SP,2025-03-07,Papelaria,Nao_Informado,"Lápis de cor",3,15.00,45.00,45.00,Debito,Site,1,PAGO
46,151,CTR,Centro,"São Paulo",SP,2024-03-16,Bebidas,Sucos,"Refrigerante cola 2L",2,3.00,0.00,0.00,Debito,APP,0,PAGO
47,422,NRT,Norte,Belém,PA,2024-05-23,Bebidas,Nao_Informado,"Refrigerante cola 2L",3,3.00,9.00,9.00,Credito,APP,0,PAGO
48,475,SL,Sul,"Porto Alegre",RS,2024-12-30,Bebidas,Nao_Informado,"Água mineral 500ml",2,9.00,18.00,18.00,Credito,Nao_Informado,0,PAGO
49,764,NRT,Norte,Belém,PA,2024-10-13,Papelaria,Nao_Informado,"Caneta preta",4,10.00,40.00,40.00,Debito,APP,0,CANCELADO
50,618,CTR,Centro,"São Paulo",SP,2025-03-10,Bebidas,Refrigerantes,"Suco de laranja 1L",3,5.00,15.00,15.00,Debito,"Loja física",1,PAGO
51,584,NRT,Norte,Belém,PA,2024-07-25,Papelaria,Nao_Informado,"Caneta preta",1,5.00,5.00,5.00,Credito,Site,0,NAO_INFORMADO
52,120,CTR,Centro,"São Paulo",SP,2024-12-25,Papelaria,Mochilas,"Caneta preta",5,5.00,25.00,25.00,Credito,Nao_Informado,0,PAGO
53,641,CTR,Centro,"São Paulo",SP,2024-02-08,Papelaria,Nao_Informado,"Caderno universitário",2,7.50,15.00,15.00,Debito,Site,0,PAGO
54,36,CTR,Centro,"São Paulo",SP,2024-12-13,Higiene,Cabelo,"Shampoo 300ml",5,4.00,20.00,20.00,Debito,"Loja física",0,PAGO
55,85,CTR,Centro,"São Paulo",SP,2024-11-12,Higiene,Banho,"Desodorante aerosol",3,7.00,21.00,21.00,Credito,Site,0,PAGO
56,695,NRT,Norte,Belém,PA,2024-07-02,Higiene,Cabelo,"Sabonete em barra",5,14.00,70.00,70.00,Debito,Nao_Informado,0,CANCELADO
57,322,CTR,Centro,"São Paulo",SP,2024-05-12,Bebidas,Refrigerantes,"Chá gelado 1L",5,9.00,45.00,45.00,Dinheiro,"Loja física",0,NAO_INFORMADO
58,10,NRT,Norte,Belém,PA,2024-02-28,Mercearia,Massas,"Feijão 1kg",4,6.00,24.00,24.00,Credito,Nao_Informado,0,PAGO
59,346,CTR,Centro,"São Paulo",SP,2024-12-23,Papelaria,Cadernos,"Caderno universitário",1,15.00,15.00,15.00,Credito,"Loja física",0,PAGO
60,466,CTR,Centro,"São Paulo",SP,2025-05-12,Papelaria,Nao_Informado,"Caderno universitário",4,7.50,30.00,30.00,Credito,Nao_Informado,0,CANCELADO
61,217,NRT,Norte,Belém,PA,2025-01-05,Papelaria,Nao_Informado,"Caneta preta",3,10.00,30.00,30.00,Credito,Site,0,PAGO
62,266,SL,Sul,"Porto Alegre",RS,2025-04-07,Mercearia,Massas,"Macarrão 500g",4,8.00,32.00,32.00,Credito,Site,0,PAGO
63,495,SL,Sul,"Porto Alegre",RS,2024-06-13,Higiene,Banho,"Shampoo 300ml",1,7.00,7.00,7.00,Dinheiro,Site,0,PAGO
64,691,SL,Sul,"Porto Alegre",RS,2025-04-14,Higiene,Oral,"Sabonete em barra",4,7.00,28.00,28.00,Debito,"Loja física",0,PAGO
65,387,CTR,Centro,"São Paulo",SP,2024-07-11,Mercearia,Snacks,"Arroz 5kg",2,18.00,36.00,36.00,Credito,"Loja física",0,CANCELADO
66,467,SL,Sul,"Porto Alegre",RS,2024-07-30,Higiene,Oral,"Creme dental",5,14.00,70.00,70.00,Credito,APP,0,PAGO
67,292,CTR,Centro,"São Paulo",SP,2024-06-30,Higiene,Oral,"Sabonete em barra",1,4.00,4.00,4.00,Debito,"Loja física",0,PAGO
68,714,NRT,Norte,Belém,PA,2024-04-12,Higiene,Cabelo,"Shampoo 300ml",4,14.00,56.00,56.00,Credito,Site,0,PAGO
69,291,CTR,Centro,"São Paulo",SP,2024-05-17,Bebidas,Água,"Chá gelado 1L",2,3.00,6.00,6.00,Credito,"Loja física",0,PAGO
70,586,SL,Sul,"Porto Alegre",RS,2025-06-15,Higiene,Cabelo,"Desodorante aerosol",2,14.00,28.00,28.00,Debito,Nao_Informado,0,CANCELADO
71,407,SL,Sul,"Porto Alegre",RS,2024-03-22,Higiene,Cabelo,"Sabonete em barra",2,4.00,8.00,8.00,Dinheiro,Site,0,PAGO
72,644,CTR,Centro,"São Paulo",SP,2024-11-26,Mercearia,Massas,"Barra de cereal",5,4.00,20.00,20.00,Dinheiro,APP,0,PAGO
73,199,CTR,Centro,"São Paulo",SP,2025-01-01,Mercearia,Nao_Informado,"Feijão 1kg",1,8.00,8.00,8.00,Credito,"Loja física",0,PAGO
74,601,CTR,Centro,"São Paulo",SP,2024-05-05,Papelaria,"Material artístico","Caneta azul",2,15.00,30.00,30.00,Debito,"Loja física",0,NAO_INFORMADO
75,317,CTR,Centro,"São Paulo",SP,2024-03-19,Mercearia,Grãos,"Feijão 1kg",1,6.00,6.00,6.00,Credito,"Loja física",0,NAO_INFORMADO
76,535,SL,Sul,"Porto Alegre",RS,2025-05-10,Bebidas,Refrigerantes,"Suco de laranja 1L",5,3.00,15.00,15.00,Credito,APP,0,PAGO
77,709,CTR,Centro,"São Paulo",SP,2024-08-10,Mercearia,Snacks,"Feijão 1kg",4,6.00,24.00,24.00,Debito,Site,0,PAGO
78,177,NRT,Norte,Belém,PA,2024-03-29,Mercearia,Snacks,"Biscoito recheado",1,18.00,18.00,18.00,Credito,APP,0,PAGO
79,99,NRT,Norte,Belém,PA,2024-11-06,Higiene,Nao_Informado,"Shampoo 300ml",5,11.00,55.00,55.00,Credito,Nao_Informado,0,CANCELADO
80,661,CTR,Centro,"São Paulo",SP,2025-06-07,Bebidas,Nao_Informado,"Refrigerante cola 2L",1,5.00,5.00,5.00,Credito,Site,0,PAGO
81,327,CTR,Centro,"São Paulo",SP,2025-01-15,Papelaria,Nao_Informado,"Caneta azul",3,15.00,45.00,45.00,Credito,"Loja física",1,PAGO
82,623,CTR,Centro,"São Paulo",SP,2024-08-05,Papelaria,Nao_Informado,"Lápis de cor",4,15.00,60.00,60.00,Credito,"Loja física",0,PAGO
83,335,CTR,Centro,"São Paulo",SP,2024-10-08,Higiene,Cabelo,"Sabonete em barra",3,4.00,12.00,12.00,Credito,Nao_Informado,0,PAGO
84,346,CTR,Centro,"São Paulo",SP,2024-11-26,Papelaria,Cadernos,"Caneta preta",1,15.00,15.00,15.00,Credito,Nao_Informado,0,PAGO
85,466,CTR,Centro,"São Paulo",SP,2024-11-16,Higiene,Banho,"Creme dental",5,4.00,0.00,20.00,Credito,APP,0,NAO_INFORMADO
86,759,CTR,Centro,"São Paulo",SP,2024-10-02,Papelaria,Nao_Informado,"Caderno 10 matérias",3,5.00,15.00,15.00,Credito,Site,0,PAGO
87,472,CTR,Centro,"São Paulo",SP,2025-01-23,Papelaria,Mochilas,"Caderno universitário",8,25.00,200.00,200.00,Debito,Nao_Informado,1,PAGO
88,288,CTR,Centro,"São Paulo",SP,2025-06-24,Bebidas,Nao_Informado,"Suco de laranja 1L",1,7.00,7.00,7.00,Credito,APP,0,PAGO
89,218,NRT,Norte,Belém,PA,2024-07-29,Papelaria,Nao_Informado,"Caderno universitário",4,15.00,60.00,60.00,Credito,Site,0,PAGO
90,373,SL,Sul,"Porto Alegre",RS,2024-06-06,Higiene,Nao_Informado,"Shampoo 300ml",4,7.00,28.00,28.00,Dinheiro,Site,0,PAGO
91,17,CTR,Centro,"São Paulo",SP,2024-05-30,Higiene,Cabelo,"Creme dental",1,14.00,14.00,14.00,Credito,"Loja física",0,PAGO
92,342,CTR,Centro,"São Paulo",SP,2024-01-28,Higiene,Oral,"Creme dental",1,4.00,4.00,4.00,Debito,APP,0,PAGO
93,444,CTR,Centro,"São Paulo",SP,2024-06-29,Papelaria,Nao_Informado,"Caderno 10 matérias",2,5.00,10.00,10.00,Credito,Site,0,PAGO
94,415,CTR,Centro,"São Paulo",SP,2024-04-13,Higiene,Nao_Informado,"Sabonete em barra",2,11.00,22.00,22.00,Credito,Site,0,PAGO
95,718,NRT,Norte,Belém,PA,2024-10-21,Higiene,Oral,"Shampoo 300ml",2,11.00,22.00,22.00,Credito,Nao_Informado,0,NAO_INFORMADO
96,590,NRT,Norte,Belém,PA,2024-03-28,Papelaria,Nao_Informado,"Caneta azul",4,25.00,0.00,0.00,Debito,"Loja física",0,CANCELADO
97,151,SL,Sul,"Porto Alegre",RS,2024-10-24,Papelaria,Cadernos,"Caneta azul",3,15.00,45.00,45.00,Debito,Site,0,PAGO
98,342,CTR,Centro,"São Paulo",SP,2024-09-22,Higiene,Banho,"Creme dental",5,4.00,20.00,20.00,Credito,APP,0,PAGO
99,212,CTR,Centro,"São Paulo",SP,2024-09-07,Papelaria,Canetas,"Caneta preta",1,10.00,10.00,10.00,Debito,APP,0,CANCELADO
100,283,SL,Sul,"Porto Alegre",RS,2024-12-23,Bebidas,Sucos,"Refrigerante cola 2L",5,12.00,60.00,60.00,Credito,Nao_Informado,0,PAGO
101,702,CTR,Centro,"São Paulo",SP,2024-12-21,Mercearia,Nao_Informado,"Arroz 5kg",5,8.00,40.00,40.00,Credito,Nao_Informado,0,PAGO
102,608,CTR,Centro,"São Paulo",SP,2024-10-28,Papelaria,Cadernos,"Caneta preta",3,5.00,15.00,15.00,Credito,"Loja física",0,PAGO
103,486,NRT,Norte,Belém,PA,2024-10-17,Mercearia,Massas,"Feijão 1kg",2,6.00,12.00,12.00,Credito,APP,0,PAGO
104,409,CTR,Centro,"São Paulo",SP,2024-12-29,Papelaria,Mochilas,"Caneta azul",5,10.00,50.00,50.00,Credito,APP,0,PAGO
105,88,CTR,Centro,"São Paulo",SP,2024-09-13,Bebidas,Nao_Informado,"Chá gelado 1L",5,5.00,25.00,25.00,Debito,"Loja física",0,PAGO
106,363,CTR,Centro,"São Paulo",SP,2024-11-16,Higiene,Nao_Informado,"Desodorante aerosol",4,14.00,0.00,56.00,Debito,"Loja física",0,PAGO
107,636,NRT,Norte,Belém,PA,2024-11-05,Bebidas,Refrigerantes,"Chá gelado 1L",2,9.00,18.00,18.00,Debito,Nao_Informado,0,PAGO
108,100,SL,Sul,"Porto Alegre",RS,2024-10-03,Bebidas,Nao_Informado,"Chá gelado 1L",3,3.00,9.00,9.00,Debito,"Loja física",0,PAGO
109,692,CTR,Centro,"São Paulo",SP,2024-05-27,Mercearia,Snacks,"Feijão 1kg",1,12.00,12.00,12.00,Credito,"Loja física",0,PAGO
110,26,CTR,Centro,"São Paulo",SP,2024-05-03,Higiene,Nao_Informado,"Sabonete em barra",1,11.00,11.00,11.00,Credito,Site,0,PAGO
111,763,CTR,Centro,"São Paulo",SP,2024-05-06,Mercearia,Grãos,"Barra de cereal",5,6.00,30.00,30.00,Dinheiro,"Loja física",0,PAGO
112,427,CTR,Centro,"São Paulo",SP,2024-10-08,Higiene,Cabelo,"Sabonete em barra",3,14.00,42.00,42.00,Debito,Site,0,PAGO
113,346,CTR,Centro,"São Paulo",SP,2024-08-22,Bebidas,Refrigerantes,"Suco de laranja 1L",3,12.00,36.00,36.00,Credito,Nao_Informado,0,PAGO
114,733,CTR,Centro,"São Paulo",SP,2024-06-04,Mercearia,Snacks,"Feijão 1kg",4,4.00,16.00,16.00,Debito,Nao_Informado,0,PAGO
115,332,SL,Sul,"Porto Alegre",RS,2024-10-28,Bebidas,Nao_Informado,"Chá gelado 1L",1,3.00,0.00,0.00,Credito,"Loja física",0,PAGO
116,681,NRT,Norte,Belém,PA,2024-02-23,Mercearia,Nao_Informado,"Biscoito recheado",1,4.00,4.00,4.00,Dinheiro,"Loja física",0,PAGO
117,387,SL,Sul,"Porto Alegre",RS,2024-01-31,Mercearia,Nao_Informado,"Barra de cereal",2,6.00,12.00,12.00,Credito,APP,0,PAGO
118,597,SL,Sul,"Porto Alegre",RS,2025-03-20,Papelaria,Nao_Informado,"Lápis de cor",1,7.50,7.50,7.50,Credito,Site,0,PAGO
119,438,CTR,Centro,"São Paulo",SP,2024-03-14,Higiene,Cabelo,"Shampoo 300ml",5,14.00,70.00,70.00,Debito,APP,0,PAGO
120,530,SL,Sul,"Porto Alegre",RS,2025-01-20,Papelaria,Cadernos,"Caneta preta",3,5.00,15.00,15.00,Credito,Site,1,PAGO
121,590,CTR,Centro,"São Paulo",SP,2024-09-30,Mercearia,Nao_Informado,"Barra de cereal",5,8.00,40.00,40.00,Dinheiro,"Loja física",0,PAGO
122,206,NRT,Norte,Belém,PA,2024-09-26,Bebidas,Refrigerantes,"Suco de laranja 1L",2,12.00,24.00,24.00,Dinheiro,"Loja física",0,PAGO
123,758,CTR,Centro,"São Paulo",SP,2024-02-06,Papelaria,Nao_Informado,"Caneta preta",2,10.00,20.00,20.00,Debito,APP,0,PAGO
124,528,NRT,Norte,Belém,PA,2024-01-29,Papelaria,Canetas,"Mochila escolar",5,15.00,75.00,75.00,Debito,Nao_Informado,0,PAGO
125,142,NRT,Norte,Belém,PA,2025-01-21,Papelaria,Cadernos,"Mochila escolar",4,10.00,40.00,40.00,Credito,APP,1,PAGO
126,453,CTR,Centro,"São Paulo",SP,2024-01-11,Papelaria,Cadernos,"Lápis de cor",2,5.00,10.00,10.00,Credito,Site,0,PAGO
127,674,SL,Sul,"Porto Alegre",RS,2024-09-07,Papelaria,Nao_Informado,"Caderno 10 matérias",1,10.00,10.00,10.00,Dinheiro,Site,0,PAGO
128,670,SL,Sul,"Porto Alegre",RS,2024-11-05,Mercearia,Nao_Informado,"Feijão 1kg",3,18.00,54.00,54.00,Debito,Nao_Informado,0,PAGO
129,567,SL,Sul,"Porto Alegre",RS,2024-05-20,Mercearia,Massas,"Feijão 1kg",2,4.00,8.00,8.00,Dinheiro,Nao_Informado,0,PAGO
130,87,CTR,Centro,"São Paulo",SP,2024-02-04,Papelaria,Mochilas,"Mochila escolar",4,15.00,0.00,60.00,Debito,"Loja física",0,PAGO
131,33,NRT,Norte,Belém,PA,2024-07-07,Bebidas,Refrigerantes,"Água mineral 500ml",3,12.00,36.00,36.00,Dinheiro,Nao_Informado,0,PAGO
132,713,SL,Sul,"Porto Alegre",RS,2024-02-28,Higiene,Nao_Informado,"Creme dental",2,14.00,28.00,28.00,Credito,APP,0,PAGO
133,346,CTR,Centro,"São Paulo",SP,2024-10-07,Higiene,Banho,"Creme dental",3,11.00,33.00,33.00,Debito,"Loja física",0,PAGO
134,18,SL,Sul,"Porto Alegre",RS,2024-11-24,Higiene,Banho,"Desodorante aerosol",1,11.00,11.00,11.00,Credito,Nao_Informado,0,PAGO
135,66,CTR,Centro,"São Paulo",SP,2024-03-22,Higiene,Cabelo,"Creme dental",3,11.00,33.00,33.00,Dinheiro,APP,0,CANCELADO
136,519,CTR,Centro,"São Paulo",SP,2024-02-20,Higiene,Nao_Informado,"Creme dental",1,7.00,7.00,7.00,Credito,Site,0,PAGO
137,112,CTR,Centro,"São Paulo",SP,2024-12-27,Papelaria,Nao_Informado,"Caneta preta",1,25.00,25.00,25.00,Debito,Site,0,PAGO
138,369,SL,Sul,"Porto Alegre",RS,2025-03-12,Papelaria,"Material artístico","Lápis de cor",4,15.00,60.00,60.00,Credito,APP,1,PAGO
139,321,SL,Sul,"Porto Alegre",RS,2024-06-02,Bebidas,Sucos,"Chá gelado 1L",5,3.00,15.00,15.00,Dinheiro,"Loja física",0,NAO_INFORMADO
140,752,CTR,Centro,"São Paulo",SP,2024-08-17,Higiene,Nao_Informado,"Sabonete em barra",5,4.00,20.00,20.00,Debito,Nao_Informado,0,PAGO
141,751,SL,Sul,"Porto Alegre",RS,2024-10-27,Mercearia,Nao_Informado,"Feijão 1kg",1,6.00,6.00,6.00,Debito,Site,0,PAGO
142,236,CTR,Centro,"São Paulo",SP,2025-06-01,Higiene,Nao_Informado,"Shampoo 300ml",5,7.00,35.00,35.00,Debito,APP,0,PAGO
143,518,CTR,Centro,"São Paulo",SP,2024-10-20,Mercearia,Nao_Informado,"Biscoito recheado",2,6.00,12.00,12.00,Credito,Nao_Informado,0,PAGO
144,442,SL,Sul,"Porto Alegre",RS,2025-04-26,Papelaria,Nao_Informado,"Caderno universitário",1,7.50,7.50,7.50,Debito,Nao_Informado,0,PAGO
145,225,NRT,Norte,Belém,PA,2024-09-04,Papelaria,Nao_Informado,"Caderno 10 matérias",1,10.00,10.00,10.00,Dinheiro,Nao_Informado,0,CANCELADO
146,402,NRT,Norte,Belém,PA,2024-10-23,Papelaria,Canetas,"Caderno 10 matérias",5,25.00,125.00,125.00,Debito,Site,0,PAGO
147,350,SL,Sul,"Porto Alegre",RS,2024-10-13,Papelaria,Nao_Informado,"Mochila escolar",5,25.00,125.00,125.00,Credito,Site,0,PAGO
148,157,SL,Sul,"Porto Alegre",RS,2024-07-01,Higiene,Nao_Informado,"Creme dental",5,11.00,55.00,55.00,Credito,Site,0,PAGO
149,99,SL,Sul,"Porto Alegre",RS,2024-08-17,Mercearia,Snacks,"Arroz 5kg",1,6.00,6.00,6.00,Credito,"Loja física",0,CANCELADO
150,209,CTR,Centro,"São Paulo",SP,2024-07-18,Bebidas,Nao_Informado,"Chá gelado 1L",4,12.00,48.00,48.00,Credito,"Loja física",0,CANCELADO
151,611,CTR,Centro,"São Paulo",SP,2024-06-30,Papelaria,Nao_Informado,"Caderno universitário",1,10.00,10.00,10.00,Debito,"Loja física",0,PAGO
152,216,CTR,Centro,"São Paulo",SP,2024-02-09,Mercearia,Nao_Informado,"Macarrão 500g",1,6.00,6.00,6.00,Credito,APP,0,PAGO
153,204,SL,Sul,"Porto Alegre",RS,2025-05-11,Papelaria,Nao_Informado,"Lápis de cor",2,5.00,10.00,10.00,Debito,APP,0,PAGO
154,241,NRT,Norte,Belém,PA,2025-03-04,Papelaria,"Material artístico","Mochila escolar",7,7.50,52.50,52.50,Credito,Nao_Informado,1,PAGO
155,225,CTR,Centro,"São Paulo",SP,2024-02-27,Bebidas,Nao_Informado,"Chá gelado 1L",3,5.00,15.00,15.00,Debito,Site,0,PAGO
156,501,NRT,Norte,Belém,PA,2024-11-03,Higiene,Cabelo,"Sabonete em barra",3,11.00,33.00,33.00,Debito,"Loja física",0,PAGO
157,798,NRT,Norte,Belém,PA,2024-09-24,Higiene,Oral,"Sabonete em barra",3,14.00,42.00,42.00,Credito,Site,0,PAGO
158,629,CTR,Centro,"São Paulo",SP,2024-06-19,Bebidas,Sucos,"Refrigerante cola 2L",1,9.00,9.00,9.00,Credito,"Loja física",0,PAGO
159,549,CTR,Centro,"São Paulo",SP,2024-08-03,Higiene,Cabelo,"Creme dental",2,11.00,22.00,22.00,Dinheiro,APP,0,PAGO
160,497,NRT,Norte,Belém,PA,2024-01-21,Papelaria,Canetas,"Caneta azul",3,5.00,15.00,15.00,Credito,"Loja física",0,PAGO
161,186,NRT,Norte,Belém,PA,2024-02-13,Papelaria,Cadernos,"Mochila escolar",4,5.00,0.00,0.00,Debito,APP,0,PAGO
162,332,CTR,Centro,"São Paulo",SP,2024-08-05,Papelaria,Mochilas,"Caneta azul",4,7.50,30.00,30.00,Debito,Nao_Informado,0,PAGO
163,292,CTR,Centro,"São Paulo",SP,2024-04-05,Mercearia,Nao_Informado,"Macarrão 500g",4,12.00,48.00,48.00,Dinheiro,"Loja física",0,PAGO
164,577,CTR,Centro,"São Paulo",SP,2024-01-26,Papelaria,Nao_Informado,"Caneta azul",3,7.50,22.50,22.50,Credito,APP,0,CANCELADO
165,485,NRT,Norte,Belém,PA,2024-09-24,Mercearia,Massas,"Biscoito recheado",3,12.00,36.00,36.00,Credito,"Loja física",0,PAGO
166,576,SL,Sul,"Porto Alegre",RS,2025-02-20,Higiene,Oral,"Shampoo 300ml",3,14.00,42.00,42.00,Dinheiro,"Loja física",1,PAGO
167,767,CTR,Centro,"São Paulo",SP,2024-03-20,Papelaria,Canetas,"Caderno universitário",4,5.00,20.00,20.00,Credito,Nao_Informado,0,PAGO
168,302,CTR,Centro,"São Paulo",SP,2025-03-04,Bebidas,Nao_Informado,"Água mineral 500ml",5,7.00,35.00,35.00,Credito,APP,1,NAO_INFORMADO
